group,file,src,n,entropy,coverage,complete_turns,turns_cw,turns_ccw,net_turns,filter_mode,keep
1surface,/mnt/disk1/rec_results_v3/1surface/rec94_ORI_V4_FIRST30_MASK_20260727_120841/hdMetrics_20260727_120841.mat,/mnt/disk1/rec_results_v3/1surface/rec94_ORI_V4_FIRST30_MASK_20260727_120841/rec94_sf_6d_video079DLC_Resnet50_TAIL_V2Apr15shuffle2_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,464348,0.63128415887185,0.5,1,1,0,-1.13391238486565,complete_turns,1
1surface,/mnt/disk1/rec_results_v3/1surface/rec96_ORI_V4_FIRST30_MASK_20260724_103629/hdMetrics_20260724_103629.mat,/mnt/disk1/rec_results_v3/1surface/rec96_ORI_V4_FIRST30_MASK_20260724_103629/rec96_sf_7d_tf_video081DLC_Resnet50_TAIL_V2Apr15shuffle2_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,464318,0.90016861498099,0.916666666666667,4,3,1,-2.15676707724688,complete_turns,1
1surface,/mnt/disk1/rec_results_v3/1surface/rec97_ORI_V4_FIRST30_MASK_20260727_121240/hdMetrics_20260727_121240.mat,/mnt/disk1/rec_results_v3/1surface/rec97_ORI_V4_FIRST30_MASK_20260727_121240/rec97_sf_7d_tf_video082DLC_Resnet50_TAIL_V2Apr15shuffle2_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,464368,0.524003354415927,0.472222222222222,1,0,1,1.16801116128448,complete_turns,1
1surface,/mnt/disk1/rec_results_v3/1surface/rec99_ORI_V4_FIRST30_MASK_20260727_121822/hdMetrics_20260727_121822.mat,/mnt/disk1/rec_results_v3/1surface/rec99_ORI_V4_FIRST30_MASK_20260727_121822/rec99_sf_7d_tf_video084DLC_Resnet50_TAIL_V2Apr15shuffle2_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,449513,0.686686981094574,0.611111111111111,3,3,0,-3.29959571790984,complete_turns,1
2molino,/mnt/disk1/rec_results_v3/2molino/rec120_ORI_V4_FIRST30_MASK_20260727_102511/hdMetrics_20260727_102511.mat,/mnt/disk1/rec_results_v3/2molino/rec120_ORI_V4_FIRST30_MASK_20260727_102511/rec120_molino_6d_tf_1_shock_video116DLC_Resnet50_TAIL_V2Apr15shuffle2_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,1814069,0.961290346107284,1,4,4,0,-4.6028512788873,complete_turns,1
2molino,/mnt/disk1/rec_results_v3/2molino/rec121_ORI_V4_FIRST30_MASK_20260727_102747/hdMetrics_20260727_102747.mat,/mnt/disk1/rec_results_v3/2molino/rec121_ORI_V4_FIRST30_MASK_20260727_102747/rec121_molino_6d_tf_1_shock_ok_video117DLC_Resnet50_TAIL_V2Apr15shuffle2_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,1814377,0.927526194406489,1,1,1,0,-1.21456817491419,complete_turns,1
2molino,/mnt/disk1/rec_results_v3/2molino/rec122_ORI_V4_FIRST30_MASK_20260727_102941/hdMetrics_20260727_102941.mat,/mnt/disk1/rec_results_v3/2molino/rec122_ORI_V4_FIRST30_MASK_20260727_102941/rec122_molino_6d_tf_1_shock_ok_video118DLC_Resnet50_TAIL_V2Apr15shuffle2_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,1814239,0.893247912780414,1,1,1,0,-1.05885676845236,complete_turns,1
2molino,/mnt/disk1/rec_results_v3/2molino/rec124_ORI_V4_FIRST30_MASK_20260727_103141/hdMetrics_20260727_103141.mat,/mnt/disk1/rec_results_v3/2molino/rec124_ORI_V4_FIRST30_MASK_20260727_103141/rec124_molino_6d_tf_1_shock_ok_video120DLC_Resnet50_TAIL_V2Apr15shuffle2_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,1814043,0.950982739578095,1,9,9,0,-9.41668270207581,complete_turns,1
2molino,/mnt/disk1/rec_results_v3/2molino/rec12_ORI_V4_FIRST30_MASK_20260724_111025/hdMetrics_20260724_111025.mat,/mnt/disk1/rec_results_v3/2molino/rec12_ORI_V4_FIRST30_MASK_20260724_111025/rec12_molino_tf_7d_rec12_video031_output_rotadoDLC_Resnet50_TAIL_V2Apr15shuffle2_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,463835,0.92767143762205,1,1,1,0,-1.63281511366033,complete_turns,1
2molino,/mnt/disk1/rec_results_v3/2molino/rec13_ORI_V4_FIRST30_MASK_20260727_110401/hdMetrics_20260727_110401.mat,/mnt/disk1/rec_results_v3/2molino/rec13_ORI_V4_FIRST30_MASK_20260727_110401/rec13_molino_tf_7d_rec13_video032DLC_Resnet50_TAIL_V2Apr15shuffle1_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,464229,0.866108172001287,1,2,2,0,-2.37811178451264,complete_turns,1
